Time,Tweet_cleaned,URL,Location,location_searched
29-04-2020 18:37,Shoutout Thank you so much for your generous donation to Door New,https://t.co/Tj3QI5x1BT,"Plano, TX",
29-04-2020 18:44,URGENT Millions of families in Syria amp around the world are in desperate need of sanitation supplies shelter and more,Not Available,Unknown,
29-04-2020 18:25,Another week another generous donation Thanks again amp #TogetherWeCan #earlychildhood,https://t.c,"Tampa, Florida",
29-04-2020 18:27,Ssaleenass I even done that I have to take all my clothes out amp send it to donation I just anymore,Not Available,East Coast,
29-04-2020 18:49,Join NBCLA to support the Emergency COVID Response Fund with and Consider making a donation,Not Available,Culver City CA USA,
29-04-2020 21:42,go San Antonio Your donation to the is DOUBLED on News and at,https://t.co/HnHAnLG75S,"San Antonio, TX",
29-04-2020 18:39,Tune in to today at pm EST to see a special announcement #Kidschanceofsc is receiving a donation,https://t.co/D2TstrVzrv,Unknown,
29-04-2020 21:24,Encouraging everyone to do something active in support of Please,Not Available,canada,
29-04-2020 18:39,If you yet please go support and and donate whatever you can is the goal and,https://t.co/h2XElmf9zf,Unknown,
29-04-2020 21:09,Friends I m asking YOU to JOIN ME raising funds for Make goals poems science videos A day,Not Available,Unknown,
29-04-2020 23:18,In the albergue donation doesn t mean FREE You should donate an appropriate money as you can for the next pilgrim #CaminodeSantiago',Not Available,Somewhere in Japan,
29-04-2020 18:15,I just donated to #emergencyCOVID appeal Your support is urgently needed to help MAP save lives in Gaza,Not Available,"Jerusalem, Palestine ",
29-04-2020 23:58,CPU CWCSonichu If you want help that artist why you just donate the money instead This is,https://t.co/SL4JOQU1uv,Unknown,
29-04-2020 19:08,Pentium Hewlett Packard Reboot donation for refurb #pentium,https://t.co/MSqsHTbPu3,here,
29-04-2020 18:58,A suggested donation for entry is requested with of donation proceeds benefitting Broadway Cares Equity,https://t.co/N3FL4z66Kp,Instagram: ChantalThuy,
29-04-2020 18:37,Day Four of the challenge Yesterday s drawing now complete Thanks to all donations so far Please,https://t.co/GtLIOH3i8B,Northampton,
29-04-2020 18:11,Dyeing the hair for great charities check out my link in bio for donation Thanks,Not Available,annacarty,
29-04-2020 21:00,St John Ambulance NSW need your help today as we prepare our members and other emergency service workers for,https://t.co/ucaty7H7vx,"Sydney, NSW",
29-04-2020 21:58,Our freelance support graphic designer Andy has decided to raise some money for the #NHS. He ll be #cycling250km in,Not Available,"Croydon, London",
29-04-2020 18:53,I have just submitted our first donation of to Thank you for being a part of this community,https://t.co/IPZjGdKW7V,"Macomb, MI",
29-04-2020 18:20,There are still a few appointments left for our donation session tomorrow in the South West College in Omagh and lots,Not Available,A Dub in Belfast,
29-04-2020 21:30,PadmaLakshmi is right let s help each other If you re able to a donation to the can help,https://t.co/n80fpEC81V,New York City,
29-04-2020 21:50,Have you donate to Let s help them to reach their target which is k Your donation will help a lot of,Not Available,Tau Fu Fa,
29-04-2020 20:51,AnthonyFerrett Thanks for your continued support of #Hofstra Athletics Please consider a donation to the,https://t.co/OxMGERfByV,"Long Island, New York",
29-04-2020 18:45,You can also help us by taking part in the Tag Donate challenge whether you want to walk for k or just for five,Not Available,Unknown,
29-04-2020 19:05,To support Make A Wish you can help me reach my goal donate today,https://t.co/f0S4Fjj7J1,"Warren, MI",
29-04-2020 18:17,Only needed to double their target no donation is too small please give what you can let s get there,https://t.co/ev8H2QHg3H,"Pembrokeshire, UK",
29-04-2020 20:51,MetsConforto Thanks for your continued support of #Hofstra Athletics Please consider a donation to the,https://t.co/Rkk2CStkIQ,"Long Island, New York",
29-04-2020 18:31,BRB starting an alien PPE donation center,https://t.co/qLW6IXTdbA,"Nashville, TN",
29-04-2020 21:07,You can make a tax deductible donation to Texas Rio Grande Legal Aid here,https://t.co/YH86doJliC,Unknown,
22-04-2020 19:04,Corana relief fund Indian actors Video link #COVID2019india #Corona,https://t.co/GLNSQF3NtC,Ahmedabad Gujarat,
29-04-2020 21:42,Please give BIG during so children are dry healthy and safe Make your donation here,https://t.co/t05vwtJX59,Unknown,
29-04-2020 21:27,This should be a right laugh Please tune in on May nd pm enjoy and if you can do please make a little,Not Available,Unknown,
22-04-2020 20:20,To move forward from this pandemic we will need more funding from the federal The Census will be key in,Not Available,N 40°45' 0'' / W 73°53' 0'',
29-04-2020 18:54,BLACKJACKS and POS dm me if you want to donate to single in May creating a donation pool using Western,Not Available,Unknown,
29-04-2020 22:01,May th is #GivingTuesdayNow. Each person who gives or more by will receive their choice of three of the,https://t.co/jvptwWZemz,Boulder County Colorado,
29-04-2020 21:52,donation box now open please donate so I can get a diamond queue pass for skeppy s event server and then,https://t.co/WVdAH5kuLA,Unknown,
29-04-2020 21:51,Please share this with your friends and consider donating whatever you can Freestate gave me some of my best,https://t.co/nDdfWMG6Pc,Never Stop Never Stopping,
29-04-2020 20:56,campshiraNY You already blew it dude when you admitted you a big business Make a donation,https://t.co/HC2mVShLvz,Unknown,
4/27/2020 14:40,disabledchildren miss out on MILLION worth of support EVERY DAY due to the severe lack of,https://t.co/kaWnz4D89V,"England, United Kingdom",
29-04-2020 18:36,remember you re contractually obligated to make a sustained donation to the HRC if you happen to see a rainbow in the wild,Not Available,Occupied Dakota Land,
29-04-2020 21:00,Across NYC thousands are turning to CUCS to keep them healthy housed and safe You can support our essential,https://t.co/dqPuzeeprY,"New York, NY",
29-04-2020 21:16,super convenient by smart phone Donate any amount over and in just a few simple clicks you give,https://t.co/GRkRD16Bol,Canada,
29-04-2020 18:52,Lessons from next door on how NOT to use #COVID19Ethiopia emergency funds Let s keeping following the,https://t.co/Om9j6VUhly,Unknown,
29-04-2020 18:44,Will you make the difference and help us to get the totaliser up in the #NHSSweatySelfie Challenge Tomorrow is the,Not Available,"Birmingham, England",
29-04-2020 18:43,Talked rally beers with Pedro Gomez but this episode was about much more Consider making a donation to support a,Not Available,"Seattle, WA",
29-04-2020 18:23,That s a dope donation but not as dope as you,Not Available,Unknown,
29-04-2020 21:00,Go to the website in my bio to sign up or contribute a donation,Not Available,"New York, NY",
29-04-2020 18:47,Thank you Leigh for donating Your donation will go to paying Mubarak s lawyer,https://t.co/045PpuRL99,"BC, Canada",
29-04-2020 21:12,We have a generous gift for Please join us in saving wild gorillas and your donation,Not Available,"Clearwater, FL",
29-04-2020 18:41,Your donation will help five grassroots organizations in Venezuela that work for women facing multiple and,https://t.co/zTFLGHUexp,"Caracas, Venezuela",
29-04-2020 19:04,My nd Twitch Stream was a stream of firsts my first raid the first time anyone hosted me my first donation I m,Not Available,"Las Vegas, NV",
29-04-2020 18:33,Our #COVID19 #Community Fund is helping sustain the voluntary support effort through the #lockdown. already,Not Available,"Dover, Deal, Sandwich",
29-04-2020 20:29,We can do this help families in need your donation will be MATCHED dollar for dollar needs your,Not Available,"San Antonio, TX",
29-04-2020 21:15,If you could support my #GoFundMe by making a donation and then sharing it with your network I would greatly,Not Available,Unknown,
29-04-2020 19:06,You are a #sexworker amp seek immediate support during #corona crisis The German sex worker union raises,Not Available,"Berlin, Deutschland",
29-04-2020 23:59,#AOFamily- please RT share and help our AOSD member Justin raise money for his brain tumor surgery No donation is,Not Available,"San Diego, CA",
29-04-2020 18:52,mash kai IM POOR DONATION PLEASE LMAO,Not Available,Unknown,
29-04-2020 20:57,Our Food Pantry Collection is still underway Donations are accepted from noon pm each weekday Thank you to all,Not Available,"Dallas, TX",
29-04-2020 18:28,i ve done something amazing to help protect children across the uk by donating to the via,https://t.co/pPBXG8JIhn,The Toon,
29-04-2020 18:38,The Nourishing Neighbors campaign is helping raise money for the increased need in our community caused by,https://t.co/Pecs4ajYfh,"Santa Cruz, CA",
29-04-2020 21:14,Big TY for your continued support for students staff and faculty members Consider making a donation to help,Not Available,Unknown,
29-04-2020 23:36,kblinks please also start a donation to reach K sales thank you,Not Available,Unknown,
29-04-2020 21:37,Save the date #GivingTuesdayNow is happening on May Join the giving movement on May and donate to Susan G,https://t.co/IAb3PdtnGJ,"San Antonio, Texas",
29-04-2020 21:49,BTS Anniversary #ForeverWith7 Donation Those who donate or more will receive a set,Not Available,Unknown,
29-04-2020 18:39,My question is is it sanitary #lionverse Support me on patreon really appreciate every donation I get,https://t.co/za,"Greater Toronto Area, Canada",
29-04-2020 18:29,Please use this page to add your thoughts to JDs memorial or to make a donation to Bluebell Wood in his name The response,Not Available,"Kiveton Park, Sheffield",
29-04-2020 18:42,Giant Ass Cinnamon roll has raised over k for the Please consider a donation or bid,https://t.co/rEQ6fdtmga,earth,
29-04-2020 18:15,nbstv The mps should just consider what they have used as a donation to their constituents and bring back our m shs as they got it,Not Available,Unknown,
29-04-2020 18:30,CoronaEnglish Happy to make a small donation too,Not Available,Zurich,
29-04-2020 21:28,PNCBank Help The College is doing a fundraiser I donated via providing my routing number and account number,https://t.co/r9Z3lbmXvj,St. Charles IL,
29-04-2020 18:11,Today is #NationalWishDay! Please help me celebrate Make a th anniversary by donating I need,https://t.co/4kfd9zOgol,"Nashville, TN",
29-04-2020 18:31,cynthiamckinney Gates gave big donation to who so they would call this corona virus a pandemic so he could push his agenda,Not Available,Unknown,
29-04-2020 18:20,For Donation please call via,https://t.co/2f1lkPrNUG,Unknown,
29-04-2020 19:04,caitrionambalfe You were a champ and deserved every donation,Not Available,Florida,
29-04-2020 18:48,You can help us bring freedom and care to those who need it Your donation will be doubled up to when you give,Not Available,Unknown,
27-04-2020 06:27,Testimonial Proud of our teams Please share and donate at #Covid19,https://t.co/qjgiJNqGFY,New Delhi,
29-04-2020 18:39,Having visited Yemen and the charity myself a number of times I can definitely tell you with all my heart with,https://t.co/r7RMwQ8OsI,Tarīm or Englānd,
29-04-2020 23:28,As we continue our donation campaign this week even very small amounts help As a donation alternative consider a,Not Available,"Rawtenstall, England",
29-04-2020 18:25,Aofoley Thanks for your continued support of #Hofstra Athletics Please consider a donation to the Hofstra,https://t.co/QtD09Flotw,"Long Island, New York",
27-04-2020 10:38,Will #WFH be the new normal Help people up skill by considering a membership to which gifted,https://t.co/8y2ztnLMXz,"Liverpool, England",
29-04-2020 19:09,Today is matching gift day on which means any donation you make goes twice as far,https://t.co/GJXdqJj2Iw,"New York, NY",
29-04-2020 20:59,Re the quiz you can entree a s a team and communicate between yourselves as long as you all make the donation and,Not Available,North Yorks and North East,
29-04-2020 21:41,Also if you can CMDR s please consider a donation to World Central Kitchen They are,https://t.co/pH0kZsIFAS,"North Olmsted, OH",
29-04-2020 19:01,Wonderful performance girls See the original post for donation info #d124inspire,https://t.co/o6gQqxnSjC,Unknown,
29-04-2020 18:53,Care to make a donation,Not Available,Unknown,
29-04-2020 18:41,Toby has completed his #RVroadtoBordeaux Challenge KM in days donation being made to,https://t.co/CRPKMJCxpA,Rhymney Valley,
22-04-2020 23:38,Middle class #corona out #coronavirus #covid19 #WatsonTiffanee #Monsterfunder Please #Donate Today to,https://t.co/ns5khsTW02,Get Promoted! Get Funded!,
4/27/2020 17:07,FES driving #fesaid please donate #Covid_19 #COVID19Pakistan #Corona,https://t.co/oxq2UyH4hr,Unknown,
29-04-2020 21:52,It only takes a few minutes to make a donation Which is going towards Orphans and helping building towards a brighter,Not Available,dunya for now,
29-04-2020 20:25,"Yay Let s continue to do well Donation minimum is Please do it We need more participation #RedVelvet""",Not Available,"Kuala Lumpur City, Kuala Lumpu",
29-04-2020 21:04,Making a donation of any size supports students affected by the #COVID19 crisis Your gift will have double the,Not Available,"Brooklyn, NY",
29-04-2020 21:28,Some really great jerseys here and much more to be won Please donate to the link in my bio with a chance to win Your,Not Available,"Carlow, Ireland",
29-04-2020 21:33,A donation page for #JermaineWright has been set up by the league ALL proceeds go to Jermaine s family How about,Not Available,Unknown,
29-04-2020 18:09,Got an email from Bernie asking for a donation to HIS CAMPAIGN This is the first email gotten from him that,https://t.co/Ku775fBEC8,"Los Angeles, CA",
29-04-2020 18:54,PLEASE DONATE DONATION POLICY HELP THOSE WHO ARE NOT AS FORTUNATE IN LIFE AS OURSELVES,Not Available,Ole trafford,
29-04-2020 18:52,Just something doing to raise money for three local charities here in Tipperary Any donation would be greatly,Not Available,Unknown,
29-04-2020 18:33,to me that every donation helps to make life a little better for their patients Due to the generosity of the,https://t.co/TqLKzdw7VG,"Doohamlet,Castleblayney",
29-04-2020 23:48,NewsbySmiley I love the post graduation calls I get asking me to me a donation to the school,https://t.co/26Har5smst,Wade-County,
22-04-2020 20:00,jamesmartinchef Please could you RT this this I know these charities will need all the help they can get after,https://t.co/nyu80idya2,Cromer,
29-04-2020 23:46,Tomorrow is the last day to drop off bottles at donation bins to raise money for MHASR programs,Not Available,"Medicine Hat, Alberta",
29-04-2020 22:02,Running essential errands Stop by one of our participating donation centers to make a contact free drop off April th,Not Available,San Diego,
29-04-2020 23:37,Other ways you can help Provide monetary donation to your local food bank,https://t.co/ggeS8tAaJA,"Thornton, Colorado",
29-04-2020 21:08,smitf london is working hard to ensure that people continue to receive the support they need Your donation,https://t.co/RY3ZjVOxPL,United Kingdom,
29-04-2020 18:12,EyesOnQ Disgusting This is what the stars are raising money for not donation anything,Not Available,Unknown,
29-04-2020 18:42,running k a day for days for two great causes Please show your support with a simple RT or any,Not Available,United States of America,
22-04-2020 19:42,Day Today Few Min Back We North Chennai Fans Club Members Donated Dinner Food And Biscuits To,Not Available,"Tamil Nadu, India",
29-04-2020 18:41,How does you donation to help with the fight against #COVID19? Check out this graphic to see the,https://t.co/mDabAxWfG6,"Indiana, USA",
29-04-2020 18:12,How to donate Just Giving page Text GS Birthday to for donation,https://t.co/zWajPiWVTO,Haynes,
29-04-2020 19:12,Here s a short message from backing our #COVID19 Emergency Appeal If you can make a donation no,Not Available,Dorsia,
29-04-2020 21:03,Only hours of fundraising left to help times are tough and a small donation by many may help them reach,Not Available,Unknown,
29-04-2020 21:37,Feeding America provides meals to the hungry through local food banks Join us in making a donation,https://t.co/xy6UYIhnbi,"Southampton, PA",
29-04-2020 18:16,GIVING TUESDAY MAY HELP US HELP OUR COMMUNITY Donation link here,https://t.co/WvOpxjAilw,101 Sand Hill Street,
29-04-2020 21:12,more than half way any small donation rt could help #feedthefasting',https://t.co/pKJYF2XaWm,"Manchester, England",
29-04-2020 23:54,my th commission to raise money for Covid causes charities in NYC Thanks so much to for,https://t.co/e7w1cwfhox,"New York, NY",
29-04-2020 23:54,HIWTPakistan Alhumdulilah my friend appeal for donation #DonateToSaveLives,https://t.co/wTEpZBi5t4,"Karachi, Pakistan",
29-04-2020 22:04,Many orphans including my sister suffer from coronavirus bit coin donation address favCRxHWh YM HGD G irCCLDWRUqU,Not Available,Unknown,
29-04-2020 21:01,Support the essential workers at while supporting local restaurants by making a donation to supply,Not Available,"Chicago, IL",
29-04-2020 18:37,With a generous donation of YOU can help chick Fil A oppress gays With your generous donation of you,https://t.co/gwFimJiFQk,slumpland,
22-04-2020 20:29,Support COVID INDIA Let s Breathe Together Fund on #corona #coronavirusinindia #Covid19India,Not Available,"New Delhi, India",
29-04-2020 18:15,How weird that days after signing up for a paypal recurring donation to I started,https://t.co/yzriDdYoBO,"Los Angeles, CA, USA",
22-04-2020 20:11,Help us Save us in this pandemic situation of corona We are,Not Available,Mumbai,
29-04-2020 18:13,Let s choose hope amp action over fear amp despair Please donate towards this great initiative to strengthen Zim s,Not Available,Unknown,
29-04-2020 21:32,Donate to our brilliant new #campaign here #NHS #PPE #coronavirus #Covid-19 #charity,https://t.,Unknown,
29-04-2020 18:31,Right now is a good time to make a donation Giving made easy This is a simple link to donate to help me share,https://t.co/XjCwtNOiES,"12865 99E Red Bluff, CA 96080",
29-04-2020 18:16,I just made a donation to to help put a stop to cruelty to animals please join me,https://t.co/MfouWQD09x,Patra-Greece.,
29-04-2020 21:59,charity you give will be your shade on the Day of Prophet Muhammad SAW check the thread below,https://t.co/Dp1J2kCZMU,"City of London, London",
29-04-2020 19:08,Blood donation camp organized by justaju team in fatimid foundation lahore for the thalessemia,https://t.co/2YSH10elUm,Lahore Pakistan,
29-04-2020 19:11,Please help make this happen every small donation counts,Not Available,Worldwide,
4/27/2020 16:40,Time for #Fighting #against #corona #virus #with #Mask and #PPE Kit Please donate us minimum #1000 So we,https://t.co/PajQjoXTbQ,Unknown,
4/19/2020 22:36,Guys we seriously need your help Everyone can give a little it s so hard to keep in touch with your friends and,Not Available,Unknown,
29-04-2020 21:28,Any donation large or small is VERY appreciated,https://t.co/LIy8gtbnt9,Indiana,
22-04-2020 20:49,PLEASE DONATE GENEROUSLY #covid19 #coronavirus #corona #rotary #rotaryclub #rotaryclubofbombay #rotarybombay,Not Available,Unknown,
29-04-2020 20:47,Thank you to for standing with workers in need and committing to a donation to our Worker Relief,Not Available,Los Angeles,
29-04-2020 21:32,Hoping people may make a small donation from what not spent on hair during #CoronavirusLockdownUK I be,Not Available,London,
29-04-2020 18:37,Join NBCLA to support the Emergency COVID Response Fund with and Consider making,https://t.co/sUszdXsDDj,Southern California,
29-04-2020 18:33,Have you taken the time to read the awareness articles I ve shared freely There are no ads no donation requests If,Not Available,Albion,
29-04-2020 19:01,MELON DONATION MELON DONATION X TOMORROW X TOGETHER for THE DREAM CHAPTER ETERNITY You can donate any,Not Available,lovely lovely ♡,
29-04-2020 18:47,StevieBrexit We really requir your donation please stay another year,Not Available,"England, United Kingdom",
29-04-2020 23:23,Alright I m starting a cult about being a virgin can I get at least donation money so I can pay for the gulag tax,Not Available,"Connecticut, USA",
29-04-2020 22:01,Your donation helps us provide programs amp services that are critical to our families communities and,https://t.co/CI3syaVAsy,"Madison, New Jersey",
29-04-2020 18:10,Thank you to our customers we just made our donation to support the orphan in need of Covid supplies,https://t.co/9WupruYjPx,"Wales, United Kingdom",
29-04-2020 18:32,What if I could show you a way to turn your mo charitable donation into a charitable donation or,https://t.co/2q0o9KTKgq,"Encinitas, CA",
29-04-2020 21:31,need a new used vehicle sedan jeep suv pickup truck Please donate to support our Family Services amp,https://t.co/fgyrC2hISG,"Houston, TX",
29-04-2020 21:07,As A Small Business In Isolation We Need Your Help With Our April Donation Drive #Anime,https://t.co/CGST4YJE3n,"Nevada, USA",
29-04-2020 21:43,PadmaLakshmi is right let s help each other If you re able to a donation to the can help front line,Not Available,Unknown,
29-04-2020 18:23,Donation Education Will Bridge The Gaps Click Here to DONATE Profits benefit,https://t.co/Oovlg9d7IS,"Denver, CO",
29-04-2020 21:09,SUPPORT THE RESISTANCE If your able please consider a small donation out of work since Feb,Not Available,United States,
29-04-2020 18:50,#RamadanMubarak Really Need your help today Will you please make a donation right Now and help us,https://t.co/z6AZuXkmPz,Revelation,
29-04-2020 18:55,Let us not forget to support local food banks and shelters Please consider a donation through Global,https://t.co/lPa97zpBt2,Unknown,
29-04-2020 22:05,One of the wonderful charities Generoasta supports is Art Expressions Inc Please see attached as to how you can support,Not Available,"Wexford, PA",
29-04-2020 18:16,The Turn Up Continues EVERY Tuesday pm EST A power hour of Hip Hop Suggested Donation of a portion of the,https://t.co/f1Wm5PmJAU,New York City,
29-04-2020 21:01,TOMORROW Don Ferlazzo Music concert at p m on Facebook Live CapRegionVegans to raise funds for CRVN,Not Available,"San Francisco, CA",
29-04-2020 21:36,So you guys know every year during Ramadaan and October my birthday month I ask you to make a small donation to,Not Available,South Africa âœ¨,
